,!,!=,$,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,[,],basic,break,do,else,id,if,num,real,true,while,{,||,},stmts,decl,stmt,false
305,s210,,,,s213,,,,s211,,,,,,,,,,,,,,,s219,,s215,s216,s217,,,,,,,,s218
306,s210,,,,s293,,,,s211,,,,,,,,,,,,,,,s219,,s215,s232,s217,,,,,,,,s218
307,,r17,,r17,,r17,r17,r17,r17,r17,,r17,r17,,r17,r17,r17,r17,,,,,,,,,,,,,r17,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r13,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s327,,,,,,,
310,s52,,,,s55,,,,s53,,,,,,,,,,,,,,,s61,,s57,s58,s59,,,,,,,,s60
311,s69,,,,s72,,,,s70,,,,,,,,,,,,,,,s78,,s74,s75,s76,,,,,,,,s77
312,,,,,,,,,,,,,,,,,,,,,,,r15,,,,,,,,,r15,,,r15,
313,,r38,,r38,,r38,r38,r38,r38,r38,,,,,r38,,,,,,,,,,,,,,,,r38,,,,,
314,,r39,,r39,,r39,r39,r39,r39,r39,,,,,r39,,,,,,,,,,,,,,,,r39,,,,,
315,,r43,,r43,,r43,r43,r43,r43,r43,,,,,r43,,,,,,,,,,,,,,,,r43,,,,,
316,,,,,,,,,,,,,,,,,,,,,,,,,,s345,,,,,,,,,,
317,s210,,,,s293,,,,s211,,,,,,,,,,,,,,,s219,,s215,s232,s217,,,,,,,,s218
318,,r38,,r38,,,r38,r38,r38,r38,r38,,,,r38,,,,,,,,,,,,,,,,r38,,,,,
319,,,,,,s332,,,,,,,,,,,,,,,,,,,,,,,,,s95,,,,,
320,,,,,,,,,,,,,,,,,,,,s8,,,,,,,,,,,,,,,,
321,s197,,,,s352,,,,s198,,,,,,,,,,,,,,,s206,,s234,s353,s204,,,,,,,,s235
322,s197,,,,s200,,,,s198,,,,,,,,,,,,,,,s206,,s234,s203,s325,,,,,,,,s235
323,,r37,,r37,,,r37,r37,r37,r37,r37,,,,r37,,,,,,,,,,,,,,,,r37,,,,,
324,,r39,,r39,,,r39,r39,r39,r39,r39,,,,r39,,,,,,,,,,,,,,,,r39,,,,,
325,,r44,,r44,,,r44,r44,r44,r44,r44,,,,r44,,,,,,,,,,,,,,,,r44,,,,,
326,,r32,,r32,,,s322,r32,r32,s321,r32,,,,r32,,,,,,,,,,,,,,,,r32,,,,,
327,,,,,s373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,s52,,,,s55,,,,s53,,,,,,,,,,,,,,,s61,,s57,s58,s59,,,,,,,,s60
329,,r34,,r34,,,r34,r34,r34,r34,r34,,,,r34,,,,,,,,,,,,,,,,r34,,,,,
330,,r39,,r39,,,r39,r39,r39,r39,r39,,,,r39,,,,,,,,,,,,,,,,r39,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r14,,,r14,
332,,r40,,r40,,,r40,r40,r40,r40,r40,,,,r40,,,,,,,,,,,,,,,,r40,,,,,
333,,,,,,,,,,,,,,,,,,,,,,,r15,,,,,,r15,,,,,,,
334,,r34,,r34,,r34,r34,r34,r34,r34,,,,,r34,,,,,,,,,,,,,,,,r34,,,,,
335,,r39,,r39,,r39,r39,r39,r39,r39,,,,,r39,,,,,,,,,,,,,,,,r39,,,,,
336,,r43,,r43,,r43,r43,r43,r43,r43,,,,,r43,,,,,,,,,,,,,,,,r43,,,,,
337,,,,,,s366,,,,,,,,,,,,,,,,,,,,,,,,,s95,,,,,
338,,,,,,,,,,,,,,,,,,,s371,,,,,,,,,,,,,,,,,
339,s52,,,,s55,,,,s53,,,,,,,,,,,,,,,s61,,s57,s58,s59,,,,,,,,s60
340,,,,,,,,,,,s369,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,s32,s31,,s19,s29,,,,s30,s34,,,,,,
342,,r40,,r40,,r40,r40,r40,r40,r40,,,,,r40,,,,,,,,,,,,,,,,r40,,,,,
343,,,,,,,,,,,,,,,,,,,,,s265,s264,,s19,s14,,,,s263,s20,,s375,,,,
344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r12,,,r12,
345,,,,,,,,,,,,,,,,,,,s370,,,,,,,,,,,,,,,,,
346,,r32,,r32,,r32,s289,r32,r32,s288,,,,,r32,,,,,,,,,,,,,,,,r32,,,,,
347,,r39,,r39,,r39,r39,r39,r39,r39,,,,,r39,,,,,,,,,,,,,,,,r39,,,,,
348,,r31,,r31,,r31,s289,r31,r31,s288,,,,,r31,,,,,,,,,,,,,,,,r31,,,,,
349,,r39,,r39,,r39,r39,r39,r39,r39,,,,,r39,,,,,,,,,,,,,,,,r39,,,,,
350,,r35,,r35,,,r35,r35,r35,r35,r35,,,,r35,,,,,,,,,,,,,,,,r35,,,,,
351,,r39,,r39,,,r39,r39,r39,r39,r39,,,,r39,,,,,,,,,,,,,,,,r39,,,,,
352,s52,,,,s55,,,,s53,,,,,,,,,,,,,,,s61,,s57,s58,s59,,,,,,,,s60
353,,r43,,r43,,,r43,r43,r43,r43,r43,,,,r43,,,,,,,,,,,,,,,,r43,,,,,
354,,r31,,r31,,,s322,r31,r31,s321,r31,,,,r31,,,,,,,,,,,,,,,,r31,,,,,
355,,r39,,r39,,,r39,r39,r39,r39,r39,,,,r39,,,,,,,,,,,,,,,,r39,,,,,
356,,,,,,s377,,,,,,,,,,,,,,,,,,,,,,,,,s95,,,,,
357,s69,,,,s72,,,,s70,,,,,,,,,,,,,,,s78,,s74,s75,s76,,,,,,,,s77
358,,,,,,,,,,,,,,,,,,,,s8,,,,,,,,,,,,,,,,
359,,r35,,r35,,r35,r35,r35,r35,r35,,,,,r35,,,,,,,,,,,,,,,,r35,,,,,
360,,r39,,r39,,r39,r39,r39,r39,r39,,,,,r39,,,,,,,,,,,,,,,,r39,,,,,
361,s52,,,,s55,,,,s53,,,,,,,,,,,,,,,s61,,s57,s58,s59,,,,,,,,s60
362,,,,,,,,,,,s376,,,,,,,,,,,,,,,,,,,,s108,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s364,,,,,,,
364,,,,,s382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,s17,s16,,s19,s14,,,,s15,s20,,s384,,,,
366,,,,,,,,,,,,,,,,,,,,,s191,s190,,s19,s380,,,,s189,s381,,,,,,
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r12,,,,,,,
